Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3740655193,darksidefan,0,626,G Tony Finau G Wyndham Clark G Emiliano Grillo G Akshay Bhatia G Erik Van Rooyen G Kevin Roy,,Tony Finau,G,36.84%,144.5
2,3740186594,boyewsky,0,569.5,G Jon Rahm G Tony Finau G Dylan Wu G Augusto Nunez G Alejandro Tosti G Mateo Fernandez de Oliveira,,Wyndham Clark,G,36.84%,82
3,3738005683,AirMOC,0,557.5,G Wyndham Clark G Patrick Rodgers G Emiliano Grillo G Chez Reavie G Harry Hall G Akshay Bhatia,,Akshay Bhatia,G,31.58%,117
4,3739611351,magic_21,0,544.5,G Jon Rahm G Gary Woodland G Harry Hall G Akshay Bhatia G Ben Taylor G Brent Grant,,Jon Rahm,G,26.32%,133
5,3738054363,hupfdaddy,0,540,G Jon Rahm G Aaron Rai G Nate Lashley G Harry Hall G Akshay Bhatia G Carson Young,,Gary Woodland,G,21.05%,74.5
6,3738969362,cmilly-97,0,522,G Tony Finau G Byeong Hun An G Emiliano Grillo G Will Gordon G Harry Higgs G Carson Young,,Patrick Rodgers,G,21.05%,87.5
7,3738684843,cubyblue,0,520.5,G Jon Rahm G Emiliano Grillo G Joseph Bramlett G Erik Van Rooyen G Henrik Norlander G Scott Piercy,,Aaron Rai,G,21.05%,29.5
8,3740319184,andcohen2525,0,491,G Wyndham Clark G Beau Hossler G Brandon Wu G Robby Shelton G Chez Reavie G Dylan Wu,,Emiliano Grillo,G,21.05%,110
9,3737747923,jimm743,0,478,G Patrick Rodgers G Byeong Hun An G Ben Martin G Robby Shelton G Dylan Wu G Akshay Bhatia,,Chez Reavie,G,21.05%,69
10,3739533471,mlewicki,0,465.5,G Gary Woodland G Patrick Rodgers G Stephan Jaeger G Luke List G Chez Reavie G Akshay Bhatia,,Dylan Wu,G,21.05%,99
11,3737662243,American-Dream,0,462,G Tony Finau G Aaron Rai G Will Gordon G Joseph Bramlett G Dylan Wu G Henrik Norlander,,Harry Hall,G,21.05%,92
12,3738752480,concord,0,460.5,G Jon Rahm G Garrick Higgo G Seonghyeon Kim G Luke List G Adam Long G Carson Young,,Erik Van Rooyen,G,21.05%,82.5
13,3739030217,garciar15,0,457.5,G Tony Finau G Wyndham Clark G Nicolai Hojgaard G Harry Hall G Greg Chalmers G Camilo Villegas,,Nicolai Hojgaard,G,15.79%,80.5
14,3738111544,chicagoputz,0,441.5,G Gary Woodland G Patrick Rodgers G Ben Martin G MJ Daffue G Erik Van Rooyen G Vincent Norrman,,Robby Shelton,G,15.79%,21.5
15,3739313757,JonBuc1,0,437.5,G Tony Finau G Andrew Putnam G Matt Wallace G Chez Reavie G Patton Kizzire G Erik Van Rooyen,,Will Gordon,G,15.79%,79
16,3737706833,belikemike247,0,393.5,G Nicolai Hojgaard G Garrick Higgo G Seonghyeon Kim G Mark Hubbard G Robby Shelton G Will Gordon,,Luke List,G,15.79%,31.5
17,3740250573,gapfaff,0,352.5,G Wyndham Clark G Gary Woodland G Nicolai Hojgaard G Patton Kizzire G Henrik Norlander G Trevor Cone,,Joseph Bramlett,G,15.79%,91.5
18,3738350496,jabella72,0,345,G Wyndham Clark G Aaron Rai G Matt Wallace G Luke List G Joseph Bramlett G Nate Lashley,,Henrik Norlander,G,15.79%,18.5
19,3737753695,Jph315,0,336.5,G Tony Finau G Wyndham Clark G Aaron Rai G Harry Higgs G Matti Schmid G Tyson Alexander,,Carson Young,G,15.79%,87
,,,,,,,Byeong Hun An,G,10.53%,75.5
,,,,,,,Ben Martin,G,10.53%,77.5
,,,,,,,Garrick Higgo,G,10.53%,30
,,,,,,,Seonghyeon Kim,G,10.53%,94
,,,,,,,Matt Wallace,G,10.53%,29
,,,,,,,Nate Lashley,G,10.53%,81.5
,,,,,,,Patton Kizzire,G,10.53%,33.5
,,,,,,,Harry Higgs,G,10.53%,26
,,,,,,,Beau Hossler,G,5.26%,95
,,,,,,,Andrew Putnam,G,5.26%,79
,,,,,,,Brandon Wu,G,5.26%,124.5
,,,,,,,Stephan Jaeger,G,5.26%,86
,,,,,,,Mark Hubbard,G,5.26%,88.5
,,,,,,,MJ Daffue,G,5.26%,29
,,,,,,,Vincent Norrman,G,5.26%,90.5
,,,,,,,Adam Long,G,5.26%,85
,,,,,,,Scott Piercy,G,5.26%,85
,,,,,,,Augusto Nunez,G,5.26%,56
,,,,,,,Matti Schmid,G,5.26%,28
,,,,,,,Ben Taylor,G,5.26%,103
,,,,,,,Brent Grant,G,5.26%,25
,,,,,,,Tyson Alexander,G,5.26%,26.5
,,,,,,,Kevin Roy,G,5.26%,90
,,,,,,,Alejandro Tosti,G,5.26%,100.5
,,,,,,,Trevor Cone,G,5.26%,63.5
,,,,,,,Mateo Fernandez de Oliveira,G,5.26%,36.5
,,,,,,,Greg Chalmers,G,5.26%,30
,,,,,,,Camilo Villegas,G,5.26%,28.5
